Product URL,Product Name,Product Price,Rating,Number of reviews,ASIN,Product Description,Manufacturer
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-11,NORTH ZONE Casual Waterproof Laptop Backpack/Office,₹630,4.0,486,B0BS6QQZYN,,Brand: NORTH ZONE
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-12,Half Moon Aztec 37L School,₹649,3.6,162,B0C23Z9W18,"<img alt=""HALF MOON LOGO"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/81cd1993-4f0f-474d-b1e1-764263403330.__CR0,0,600,180_PT0_SX600_V1___.png"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""HALF MOON LOGO"" src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/81cd1993-4f0f-474d-b1e1-764263403330.__CR0,0,600,180_PT0_SX600_V1___.png""/></noscript>",Visit the Half Moon Store
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-13,Northzone Lightweight school,₹549,4.0,125,B0BL3TVDK6,,Brand: NORTH ZONE
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-14,ADISA 15.6 inch Laptop Backpack Office,₹499,3.9,1030,B09TPX22NF,"<img alt=""logo brand branded"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-seller-content-images-us-east-1/A21TJRUUN4KGV/A2HTK3LX1IKS6N/9c03b649-71ac-492c-a022-1153a9ddc381._CR0,57,951,285_PT0_SX600__.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""logo brand branded"" src=""https://m.media-amazon.com/images/S/aplus-seller-content-images-us-east-1/A21TJRUUN4KGV/A2HTK3LX1IKS6N/9c03b649-71ac-492c-a022-1153a9ddc381._CR0,57,951,285_PT0_SX600__.jpg""/></noscript>",Visit the ADISA Store
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-15,Gear CarryOn 16L Foldable Water Resistant School,₹224,3.7,6852,B019HA8AYG,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)Number of compartments: 1; Compatible Laptop Size : 15.4Warranty Type: Manufacturer; 1 Year from the date of purchasePocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper",Brand: Gear
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-16,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹839,4.3,3742,B08R7RPVJF,"Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfortSmooth zippers that never jam or breakStyle meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily useSpacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentialsThe padded shoulder straps, handle, and back panel provides protection and all-day comfort.›See more product details",Brand: Lenovo
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-17,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹899,3.9,9912,B08YZ8FFBZ,,Visit the Lunar's Store
https://www.amazon.in/Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-18,Nelle Harper Women's Handbag,₹809,3.7,1908,B07JGQM7DC,,Visit the Nelle Harper Store
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-19,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",₹1399,4.2,529,B0BTD4FK9G,,Brand: American Tourister
https://www.amazon.in/Hammonds-Flycatcher-Leather-Messenger-LB190BRN/dp/B083M1QK32/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-20,HAMMONDS FLYCATCHER Laptop,₹5255,4.4,572,B083M1QK32,,Visit the HAMMONDS FLYCATCHER Store
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-21,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel",₹799,3.8,2990,B09B26VHXV,"HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to accessMESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrellaCOMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps; WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defectsAge Range Description: Adult; Closure Type: Zipper",Visit the Safari Store
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_5_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym,₹387,4.3,7650,N/A,N/A,N/A
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-23,ADISA 32L Large Laptop Backpack Office,₹599,3.8,263,B0BPVLXD53,"<img alt=""SPN-VAFSC"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/027386d7-d8a5-420e-814c-653cefb64ac5.__CR0,0,600,180_PT0_SX600_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""SPN-VAFSC"" src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/027386d7-d8a5-420e-814c-653cefb64ac5.__CR0,0,600,180_PT0_SX600_V1___.jpg""/></noscript>",Visit the ADISA Store
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-24,Wesley Spartan Unisex Travel Hiking Laptop,₹749,4.1,1563,B098QFF5TJ,"<img alt=""First"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/10126daf-8f77-4481-bdf4-04a3f3c3f900.__CR0,0,600,180_PT0_SX600_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""First"" src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/10126daf-8f77-4481-bdf4-04a3f3c3f900.__CR0,0,600,180_PT0_SX600_V1___.jpg""/></noscript>",Brand: Wesley
