Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_5_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym,₹387,4.3,7650
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-23,ADISA 32L Large Laptop Backpack Office,₹599,3.8,263
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-24,Wesley Spartan Unisex Travel Hiking Laptop,₹749,4.1,1563
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-25,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack,₹699,3.8,582
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-26,Half Moon Large 37L Laptop,₹849,3.9,3247
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_27?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-27,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,₹499,4.0,20051
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_28?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-28,NIVIA Basic Duffle Polyester,₹269,4.0,3701
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-29,ADISA 31 Ltrs Casual Backpack School College,₹399,3.8,138
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-30,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel",₹680,3.6,184
https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-31,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),₹1439,4.5,4040
